sprints,var_ga,var_random,var_best,tf_ga,tf_random,tf_best
1,0,0,0,1,1,1
2,1253.25,1246,1602.88,3,3,2
3,2565,2765.75,3858.5,4,5,1
4,3715.62,3971.25,6223,5,5,1
5,4700.25,4999.88,9904.25,5,5,1
6,5791.38,6428.62,14177.88,5,4,1
7,7223.88,7283.12,20221.62,5,4,1
8,8770.88,8190.5,25877,4,4,1
9,10093.75,9532.5,33097.62,4,4,1
10,11412.88,11042,39037.62,4,4,1
11,12584.75,12116.62,45528,4,4,1
12,13893.75,12873.5,54165.5,5,4,1
13,14514.25,13562.75,66464.12,5,4,1
14,14737.25,14287,75732.88,5,4,1
15,15875.25,16156,84948.5,5,4,1
16,17119.25,17025.62,96911.12,4,4,1
17,18366.88,17622.88,108901.5,6,4,1
18,19774.5,18198.38,121441.38,5,4,1
19,21048.75,18972.5,133184.5,6,4,1
20,22779,19621.62,145561.12,5,5,1
21,24227.62,21223.25,161588.88,6,5,1
22,25462.25,22389.12,176378.38,5,5,1
23,26471,23580.12,190759.75,5,4,1
24,27869.62,25356.62,204968.62,5,4,1
25,29473.75,26613.88,223269.88,6,4,1
26,31149.62,28307.88,244125.62,5,4,1
27,32822,28731.75,263452,5,4,1
28,34782.12,31001.12,280258.12,5,4,1
29,35445.75,31739.25,303660.75,5,4,1
30,36671.75,32988.5,327366.25,5,3,1
