approach,tasks,workers,skills,sprints,files,mean,var,median,max,min
ga,40,12,6,10,150,1.9,1,1.5,3,1
ga,40,12,6,10,150,2.0,2,1.5,4,1
ga,40,12,6,10,150,1.9,1,1.5,3,1
