sprints,var_ga,var_random,var_best,tf_ga,tf_random,tf_best
1,0,0,0,1,1,1
2,463,910.2,494.2,2,2,2
3,1171.6,1341.2,1237.8,2,2,2
4,1656.4,1968.4,1955.8,3,3,2
5,2045,2190,2759.8,3,3,2
6,2634.4,2957.6,3330.8,3,3,1
7,3526,3481,3746.8,3,3,1
8,4086.4,4321.2,4862.2,3,3,1
9,4220.4,5218.2,5650.2,3,3,1
10,4456,5844.8,7045.8,3,2,1
11,4255.6,6494.2,7783.4,3,2,2
12,4600.2,7013,9040.4,3,2,1
13,5469.8,7973.6,10562.2,3,2,1
14,6911,9095.4,12721.4,2,2,1
15,6772,9950,13705.4,2,2,1
16,7038.2,10143,15474.6,3,2,1
17,7383,11104.8,16480,3,3,1
18,8569.2,12197.8,16885.4,3,2,1
19,9632.6,12299.6,17825.4,3,2,1
20,10016.8,13120.8,18327.4,3,3,1
