ID Inte Med
6658 63 65
6659 60 61
6660 26 69
6661 61 78
6662 59 56
6663 59 67
6664 19 87
6666 43 98
6667 7 7
6668 71 75
6671 25 61
6672 41 82
6673 29 73
6674 39 77
6677 22 12
6678 32 85
6679 37 68
6680 11 44
6681 89 76
6682 26 88
6683 57 89
6686 66 85
6687 110 55
6689 44 87
6690 56 77
6692 34 89
6959 51 20
6992 30 64
8741 64 86
8742 21 63
8743 73 83
8744 92 89
8745 58 78
8746 19 28
8747 35 88
8748 67 81
8749 75 93
8750 1 0
8751 63 87
8752 27 87
8753 54 89
8754 71 84
8755 99 84
8756 63 83
8757 45 66
8758 92 69
8759 68 77
8760 55 81
8761 7 26
8762 64 77
8763 38 84
8764 72 89
8765 88 76
8766 62 83
8767 40 49
8768 74 83
8769 58 77
8770 65 82
8771 57 81
8772 75 89
8773 68 80
8774 68 88
8775 57 90
8776 7 6
8777 77 93
8778 29 71
8779 75 96
8780 76 81
8782 81 83
8783 66 77
8784 76 95
8785 82 93
8786 87 93
8787 56 79
8788 7 17
8789 36 52
8790 85 86
8791 99 89
8792 74 86
8793 86 93
8794 23 17
8795 34 62
8796 75 89
8797 84 87
8798 94 85
8799 82 88
8800 78 84
8801 47 78
8802 68 80
8803 75 68
8804 41 75
8805 15 57
8806 41 65
8807 51 84
8808 1 0
8809 34 75
8810 83 85
8811 5 26
8812 54 77
8813 3 7
8814 53 82
8815 47 80
8816 8 54
8817 59 80
8818 4 11
8819 57 61
8820 72 88
8821 15 47
8822 13 28
8823 64 70
8824 70 86
8825 56 79
8826 9 8
8827 50 79
8828 11 35
8829 33 60
8830 74 80
8831 53 69
8832 54 71
8833 56 82
8834 24 75
8835 4 13
8837 27 83
8838 82 90
8839 44 87
8840 52 66
8841 80 90
8842 74 75
8843 30 67
8844 60 70
8845 74 86
8846 45 62
8847 62 80
8849 82 73
8850 71 86
8852 15 58
8853 65 79
8854 19 77
8855 59 88
8856 68 91
8857 43 35
8858 75 94
8859 74 88
8860 2 0
8861 1 0
8862 94 93
8863 54 82
8864 11 67
8865 53 65
8866 2 0
8867 7 12
8869 19 42
8870 89 64
8871 78 82
8872 79 93
8873 77 96
8874 89 83
8875 97 73
8876 18 39
8877 79 66
8878 1 11
8879 18 27
8880 84 32
8881 6 0
8882 102 79
8883 86 74
8884 29 44
8885 6 2
8886 76 59
8887 44 65
8888 42 52
8889 59 86
8890 42 69
8891 100 79
8892 75 83
8894 21 34
8895 14 33
8896 106 77
8897 95 86
8898 44 72
8899 101 72
8900 91 83
8901 16 39
8902 42 46
8903 96 59
8904 79 84
8907 123 70
8909 2 3
8910 70 82
8911 114 76
8912 87 82
8914 62 81
8915 83 73
8916 55 68
8917 38 66
8918 52 69
8919 4 18
8921 1 2
8922 69 67
8923 77 72
8924 61 75
9163 11 70
9606 30 76
9607 60 89
9609 12 76
9610 26 54
9611 63 87
9612 58 81
9613 35 86
9615 19 62
9616 28 48
9617 2 4
9618 62 77
9619 57 40
9620 34 71
9621 72 77
9622 13 65
9623 17 54
9624 75 86
9625 58 71
9626 50 78
9627 57 76
9628 35 80
9629 49 80
9630 55 74
9631 66 78
9642 22 28
10203 15 69
